method,mean,std,ci_lo,ci_hi
mi_ksg,0.8649152665587879,0.006369558866053538,0.858011335360618,0.8730661658986312
partial_corr,0.7236356350519197,0.019108394614328138,0.7005575849140728,0.7485739666051794
spearman,0.8986421962861844,0.008306089247297603,0.8922583555750525,0.911388618604724
