hidden,dropout,lr,weight_decay,cv_acc,cv_acc_std,cv_macro_f1,cv_macro_f1_std
"(512, 256)",0.4,0.0003,0.0001,0.9540731756620174,0.0035901820536557217,0.9521248635562345,0.003259094177982662
"(512, 256, 128)",0.3,0.0003,0.0001,0.9539923185769154,0.0018588338682147452,0.9515346338502896,0.0019130442886346
"(256, 128)",0.3,0.0003,0.0001,0.9530624620982414,0.004033544972302251,0.9510565462766829,0.00428037937084601
"(256, 128)",0.3,0.0001,0.0001,0.9531837477258945,0.00372250072849556,0.9509625505664382,0.004104440733304749
"(512, 256)",0.3,0.0003,0.0001,0.9523347483323227,0.0039462896598059585,0.95040668379806,0.003520784579152795
"(256, 128)",0.2,0.001,1e-05,0.9476450373964017,0.0038739742486007516,0.945799683526742,0.0033610994720088888
