method,mean,std,ci_lo,ci_hi
mi_ksg,0.8151820023426193,0.02027317360088941,0.7837053831591491,0.8301707121336777
partial_corr,0.6805852639785825,0.013031718795181831,0.6715024822146078,0.7008616849545082
spearman,0.8753676075807487,0.004590648740901704,0.8711516941027256,0.8806324781325259
