celltype,n_drivers,drivers
CD4 T,13,"CD109, CD2, CD28, CD3D, CD3E, CD3G, CD4, DPP4, ICOS, IL7R, TRAC, TRBC1, TRBC2"
CD8 T,13,"CD2, CD3D, CD3E, CD3G, CD8A, CD8B, ICOS, KLRK1, NT5E, PTPRC, TRAC, TRBC1, TRBC2"
other T,11,"CCR5, CD2, CD28, CD3D, CD3E, CD3G, CD81, CD99, IL7R, KLRK1, PTPRC"
B,10,"CCR6, CD19, CD22, CD72, CD79B, HLA-DRA, HLA-DRB1, ICOSLG, NT5E, PTPRC"
Mono,10,"ANPEP, CD14, CD55, CD93, CLEC12A, ITGAM, ITGAX, ITGB2, PECAM1, SIRPA"
DC,8,"CD63, CD9, CLEC12A, HLA-DRA, HLA-DRB1, ITGA2B, PECAM1, TFRC"
NK,8,"B3GAT1, CD244, CD38, FCGR3A, FCGR3B, ITGB2, KLRK1, PTPRC"
other,8,"CCR4, CD9, CLEC1B, ITGA2, ITGA2B, ITGB3, PECAM1, TFRC"
