method_a,method_b,median_a,median_b,median_diff,statistic,pvalue,rank_biserial,pvalue_holm,significant_0.05
spearman,partial_corr,0.9263222618519233,0.7407139411480945,0.17485331182602343,26.0,1.991167664527893e-06,0.8881720430107527,1.1947005987167358e-05,True
spearman,mi_ksg,0.9263222618519233,0.8859738267346963,0.024903521466473733,105.0,0.007612137123942375,0.5483870967741935,0.01522427424788475,True
spearman,ig_mlp,0.9263222618519233,0.7898968109919551,0.112774825117406,36.0,9.220093488693237e-06,0.8451612903225807,4.6100467443466187e-05,True
partial_corr,mi_ksg,0.7407139411480945,0.8859738267346963,-0.13827220077220076,37.0,1.0609626770019531e-05,-0.8408602150537634,4.6100467443466187e-05,True
partial_corr,ig_mlp,0.7407139411480945,0.7898968109919551,-0.04399717334499942,135.0,0.044907208532094955,-0.41935483870967744,0.044907208532094955,True
mi_ksg,ig_mlp,0.8859738267346963,0.7898968109919551,0.08143771484943702,81.0,0.0012321043759584427,0.6516129032258065,0.003696313127875328,True
