hidden,dropout,lr,weight_decay,cv_acc,cv_acc_std,cv_macro_f1,cv_macro_f1_std
"(512, 256)",0.4,0.0003,0.0001,0.9049524964625025,0.002003559602727119,0.9038425327692176,0.0021286442470034306
"(512, 256)",0.3,0.0003,0.0001,0.9042652112391348,0.0007563487743630338,0.9019172892690914,0.0006486969369731426
"(256, 128)",0.3,0.0003,0.0001,0.904426925409339,0.0003961172011777917,0.9012693835173194,0.0029488992741523905
"(256, 128)",0.3,0.0001,0.0001,0.903416211845563,0.0012886498848198237,0.9003645029815718,0.002181062582931425
"(256, 128)",0.2,0.001,1e-05,0.897554073175662,0.0019211003631318666,0.8948535630584615,0.0006544299319718921
"(512, 256, 128)",0.3,0.0003,0.0001,0.8959369314736204,0.003714588922040873,0.8933898985454917,0.003349045448467347
