method_a,method_b,median_a,median_b,median_diff,statistic,pvalue,rank_biserial,pvalue_holm,significant_0.05
spearman,partial_corr,0.9387125175837188,0.7453680691010018,0.1747306485654117,1.0,0.015625,0.9444444444444444,0.09375,False
spearman,mi_ksg,0.9387125175837188,0.8917282391264815,0.03023619654694426,17.0,0.9453125,0.05555555555555555,0.9453125,False
spearman,ig_mlp,0.9387125175837188,0.8365952706139608,0.12504910234842193,5.0,0.078125,0.7222222222222222,0.234375,False
partial_corr,mi_ksg,0.7453680691010018,0.8917282391264815,-0.16604563044846044,2.0,0.0234375,-0.8888888888888888,0.1171875,False
partial_corr,ig_mlp,0.7453680691010018,0.8365952706139608,-0.053542034896247426,3.0,0.0390625,-0.8333333333333334,0.15625,False
mi_ksg,ig_mlp,0.8917282391264815,0.8365952706139608,0.0549680020998185,8.0,0.1953125,0.5555555555555556,0.390625,False
