gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
RAB31,0.075127445,-0.027512304,0.029716708,-0.083303496,0.5163543,0.2272706,-0.07010117,-0.14144936,-0.03949286,-0.13937767,-0.10088447,-0.1215906,-0.037645534,-0.08475366,-0.11131661,-0.015985804,-0.034282036,-0.046933178,-0.087512225,-0.11871979,-0.05360986,-0.05782043,0.03585706,0.12309841,-0.06422044,0.1416695,0.25682747,-0.049606893,-0.0885539,0.008461148
AP006565.1,-0.0018921943,-0.004898946,-0.0052546766,-0.006591749,-0.009921552,-0.006014335,0.053801276,-0.008049175,-0.0020368672,-0.0075574894,-0.00580579,-0.00711704,-0.0019415931,-0.0051580025,-0.006950409,-0.0022154264,-0.0026465065,-0.002420609,-0.0046912013,0.026689049,-0.0029865506,-0.0035476303,-0.002921582,-0.004858023,-0.0044528395,-0.0026101691,0.04965994,-0.002855194,-0.005368716,-0.0034925903
RBBP8,0.091542214,0.005287944,-0.021191046,-0.034805067,0.12972046,0.18677057,-0.020679839,-0.088322155,0.18663083,-0.05801931,-0.052763876,-0.06984643,0.124158986,-0.03861446,-0.075405605,-0.025277315,0.0695358,-0.0068328413,-0.047855448,-0.05443085,0.10046415,0.0028397674,0.06916273,-0.055428497,-0.05080549,0.11091717,0.09018574,0.0017592388,-0.05640354,-0.01264124
ZNF521,-0.0054773446,-0.014180984,0.0019581122,-0.019081198,-0.008927986,-0.017409738,0.007469349,-0.023300054,-0.005896143,-0.021876726,-0.016806047,-0.020601777,-0.0056203394,-0.014930877,-0.020119395,-0.006413007,0.42365828,-0.0070069614,-0.013579666,-0.022697663,-0.008645188,0.03972066,-0.008457095,-0.0140625425,-0.012889678,-0.0075556897,0.0050980384,-0.008264948,-0.015540873,0.11582907
CDH2,-0.0028918232,-0.007487001,-0.008030688,-0.010074065,-0.015163053,-0.00919162,-0.00673711,-0.012301477,-0.0031129227,-0.011550041,-0.00887291,-0.010876908,-0.0029673176,-0.007882904,-0.010622251,-0.0033858062,-0.0040446315,0.06450913,0.10077761,-0.011983465,-0.0045643044,-0.0054218066,-0.0044650175,-0.0074244537,-0.0068052285,0.18582556,-0.0072339936,-0.0043635573,-0.008204933,-0.0053376784
DSC2,-0.010887138,-0.028187133,-0.030233897,-0.03074439,0.3643947,0.011697151,-0.02536389,-0.04029052,0.00978096,-0.043483675,-0.03340485,-0.040949505,-0.011171361,-0.029677633,-0.033028018,0.027232453,-0.015227248,-0.013927492,-0.02699184,-0.038887944,-0.017183755,-0.020412078,-0.016809894,-0.02795163,-0.02562032,-0.015018193,-0.017778052,-0.016427979,-0.030890059,-0.020095335
AC025887.2,-0.00244342,0.03447701,-0.0067854575,0.053738516,0.009283096,-0.0077664023,-0.0056924764,-0.010394054,-0.0026302438,-0.009759125,-0.0074971067,-0.009190375,-0.0025072151,-0.0066606053,-0.00897518,-0.0028608197,-0.0034174828,-0.0031257786,-0.006057838,-0.010125363,-0.0038565826,-0.0045811166,0.06324726,-0.006273251,-0.005750028,-0.0033705567,-0.006112306,-0.0036869638,-0.006932721,-0.0045100227
KLHL14,-0.0095467605,0.14554761,0.06296819,0.2752718,-0.044374466,-0.030344276,-0.022241201,-0.040610835,-0.010276708,-0.038130157,-0.029292114,-0.03590793,-0.009795986,-0.026023805,-0.035067152,-0.011177564,-0.0133525515,-0.012212797,-0.023668732,-0.039561044,-0.015068153,-0.017899025,0.1762989,-0.024510363,-0.022466075,-0.013169199,-0.023881568,-0.014405422,-0.027086997,-0.017621264
AC016205.1,-0.0015447746,-0.003999476,-0.0042898883,-0.0053814636,-0.008099875,-0.004910062,-0.003598871,-0.006571319,-0.0016628978,-0.0061699036,-0.004739814,-0.005810324,-0.001585112,-0.0042109825,-0.0056742853,-0.0018086646,-0.0021605876,-0.0019761708,-0.0038298622,-0.0064014173,-0.0024381988,-0.0028962754,-0.002385158,-0.0039660684,-0.0036352663,0.23469737,-0.00386433,-0.0023309793,-0.0043829866,-0.0028513132
AC011139.1,-0.002443418,-0.0063260854,-0.006785457,-0.008512047,-0.012811931,0.025975231,-0.0056924867,-0.010394043,-0.0026302438,-0.009759132,-0.0074971044,-0.0091903815,-0.002507213,-0.0066606053,-0.008975188,-0.0028608197,0.29229745,-0.003125776,-0.0060578347,-0.010125376,-0.0038565793,-0.004581118,-0.003772673,-0.006273257,-0.0057500307,-0.0033705533,-0.0061123003,-0.0036869692,-0.006932724,-0.004510019
