,Celltype,Surface_Protein,Gene Names
796,DC,CD42b,GP1BB
797,DC,CD117,KIT SCFR
798,DC,CD112,PVRIG C7orf15
799,DC,CD112,NECTIN2 HVEB PRR2 PVRL2
800,DC,CLEC2,CLEC1B CLEC2 UNQ721/PRO1384
801,DC,CD47,CD47 MER6
802,DC,CD41,ITGA2B GP2B ITGAB
803,DC,CD43,SPN CD43
804,DC,CD235a,GYPA GPA MNS
805,DC,CD119,IFNGR1
806,DC,CD169,SIGLEC1 SN
807,DC,CD163,CD163 M130
808,DC,CD163,CD163L1 CD163B M160 UNQ6434/PRO23202
809,DC,CD164,CD164
810,DC,CD164,CD164L2 UNQ6122/PRO20044
811,DC,CD11c,ITGAX CD11C
