,Celltype,Surface_Protein,Gene Names
176,other,CD36,SCARB2 CD36L2 LIMP2 LIMPII
177,DC,CD72,CD72
178,other,CD274,CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1
179,DC,CD141,THBD THRM
180,DC,CD195,CCR5 CMKBR5
181,other T,CD195,CCR5 CMKBR5
182,other,CD63,CD63 MLA1 TSPAN30
183,CD8 T,CD127,IL7R
184,DC,CD205,LY75 CD205 CLEC13B
185,other T,CD45RB,
186,DC,CLEC12A,CLEC12A CLL1 DCAL2 KLRL1 MICL
187,DC,CD22,CD22 SIGLEC2
188,other,CD194,CCR4 CMKBR4
189,DC,CD62P,SELP GMRP GRMP
190,DC,CD304,NRP1 NRP VEGF165R
191,other T,CD314,KLRK1 D12S2489E NKG2D
192,DC,CD63,CD63 MLA1 TSPAN30
193,DC,CD366,HAVCR2 TIM3 TIMD3
194,DC,CD275-2,
195,DC,CD126,IL6R
196,other T,CD96,CD96
197,other T,TCR-V-7.2,
198,other T,CD81,CD81 TAPA1 TSPAN28
199,other T,CD81,IGSF8 CD81P3 EWI2 KCT4
200,other T,CD127,IL7R
201,CD8 T,TIGIT,TIGIT VSIG9 VSTM3
202,CD8 T,Integrin-7,
203,NK,TIGIT,TIGIT VSIG9 VSTM3
204,NK,CX3CR1,CX3CR1 CMKBRL1 GPR13
205,NK,CD271,NGFR TNFRSF16
206,other T,CD26-2,
207,other T,CD28,CD28
208,other T,CD28,TMIGD2 CD28H IGPR1 UNQ3059/PRO9879
209,NK,CD57,
210,other T,CD27,CD27 TNFRSF7
211,other T,CD27,CD70 CD27L CD27LG TNFSF7
212,other T,CD27,SIVA1 SIVA
213,other T,CD279,PDCD1 PD1
214,CD8 T,CD28,CD28
215,CD8 T,CD28,TMIGD2 CD28H IGPR1 UNQ3059/PRO9879
216,other T,TCR-V-9,
217,other T,Integrin-7,
218,other T,CD56-2,
219,other T,CD99,CD99 MIC2 MIC2X MIC2Y
220,other T,CD99,CD99L2 MIC2L1 UNQ1964/PRO4486
221,CD8 T,CD81,CD81 TAPA1 TSPAN28
222,CD8 T,CD81,IGSF8 CD81P3 EWI2 KCT4
223,other T,CD8a,CD8A MAL
224,NK,CD307c/FcRL3,
225,NK,CD158,KIR3DL3 CD158Z KIR3DL7 KIRC1
226,NK,CD158,KIR2DL5B CD158F CD158F2 KIR2DL5 KIR2DLX
227,NK,CD158,KIR2DS5 CD158G NKAT9
228,NK,CD158,KIR2DS1 CD158H
229,NK,CD158,KIR2DL4 CD158D KIR103AS
230,NK,CD158,KIR2DL2 CD158B1 NKAT6
231,NK,CD158,KIR3DL2 CD158K NKAT4
232,NK,CD158,KIR2DS4 CD158I KKA3 NKAT8
233,NK,CD158,KIR2DS2 CD158J NKAT5
234,NK,CD158,KIR3DL1 CD158E NKAT3 NKB1
235,CD8 T,CD52,CD52 CDW52 HE5
