celltype,method,auc_rel
ASDC,spearman,0.9489955682933949
B intermediate,spearman,0.7405194391332058
B memory,spearman,0.7160806824523639
B naive,spearman,0.7230989956958394
CD14 Mono,spearman,0.8833426213411883
CD16 Mono,spearman,0.8085369827305311
CD4 CTL,spearman,0.8040152963671128
CD4 Naive,spearman,0.8775668576886342
CD4 Proliferating,spearman,0.7652524424403908
CD4 TCM,spearman,0.6610456242299417
CD4 TEM,spearman,0.6704610235568877
CD8 Naive,spearman,0.7345132743362832
CD8 Proliferating,spearman,0.8075425292068047
CD8 TCM,spearman,0.7695867241104196
CD8 TEM,spearman,0.9034999601371283
Eryth,spearman,0.5798375537505972
HSPC,spearman,0.8347063037249284
ILC,spearman,0.916447839579852
MAIT,spearman,0.8199304878721565
NK,spearman,0.9550501432664756
NK Proliferating,spearman,0.8846704871060171
NK_CD56bright,spearman,0.8637341620846283
Plasmablast,spearman,0.8034167601463801
Platelet,spearman,0.8027227131597803
Treg,spearman,0.7439163548549744
cDC1,spearman,0.9270879514374382
cDC2,spearman,0.7813186813186813
dnT,spearman,0.8867654085045389
gdT,spearman,0.8808954748247291
pDC,spearman,0.9106228272695911
ASDC,partial_corr,0.9063768808215906
B intermediate,partial_corr,0.670012746972594
B memory,partial_corr,0.5455313720800447
B naive,partial_corr,0.7245337159253945
CD14 Mono,partial_corr,0.6779449619191678
CD16 Mono,partial_corr,0.7020093407190181
CD4 CTL,partial_corr,0.6584608030592735
CD4 Naive,partial_corr,0.93475405921681
CD4 Proliferating,partial_corr,0.5829063332650133
CD4 TCM,partial_corr,0.7109178175398592
CD4 TEM,partial_corr,0.7247466853013111
CD8 Naive,partial_corr,0.7973052698716415
CD8 Proliferating,partial_corr,0.6519437043109927
CD8 TCM,partial_corr,0.7889739907451732
CD8 TEM,partial_corr,0.8959100693613968
Eryth,partial_corr,0.5192546583850932
HSPC,partial_corr,0.7149594078319007
ILC,partial_corr,0.8332367083859087
MAIT,partial_corr,0.8426966292134831
NK,partial_corr,0.8698662846227316
NK Proliferating,partial_corr,0.7928605539637058
NK_CD56bright,partial_corr,0.6366612111292962
Plasmablast,partial_corr,0.6801706541128009
Platelet,partial_corr,0.6031101557731603
Treg,partial_corr,0.7589894647453759
cDC1,partial_corr,0.9307028612352078
cDC2,partial_corr,0.6277591973244148
dnT,partial_corr,0.6722408026755853
gdT,partial_corr,0.6845522625876355
pDC,partial_corr,0.7870657856327787
ASDC,mi_ksg,0.5723801183557572
B intermediate,mi_ksg,0.7821462715105163
B memory,mi_ksg,0.735629434744479
B naive,mi_ksg,0.7293502766960442
CD14 Mono,mi_ksg,0.839821670249184
CD16 Mono,mi_ksg,0.8314326056261541
CD4 CTL,mi_ksg,0.635317080943276
CD4 Naive,mi_ksg,0.6432067812798472
CD4 Proliferating,mi_ksg,0.7186923549907768
CD4 TCM,mi_ksg,0.6788466135824491
CD4 TEM,mi_ksg,0.7375089648577576
CD8 Naive,mi_ksg,0.7005501076297537
CD8 Proliferating,mi_ksg,0.6302862608458017
CD8 TCM,mi_ksg,0.7379394713047178
CD8 TEM,mi_ksg,0.7711871163198597
Eryth,mi_ksg,0.6777353081700908
HSPC,mi_ksg,0.45528892072588345
ILC,mi_ksg,0.6684513862838045
MAIT,mi_ksg,0.7503448022214457
NK,mi_ksg,0.8375716332378224
NK Proliferating,mi_ksg,0.7322707736389685
NK_CD56bright,mi_ksg,0.7127567627209033
Plasmablast,mi_ksg,0.6404862171058681
Platelet,mi_ksg,0.7839344001273784
Treg,mi_ksg,0.6998646604569699
cDC1,mi_ksg,0.7024178972137912
cDC2,mi_ksg,0.7354037267080745
dnT,mi_ksg,0.7072623029144768
gdT,mi_ksg,0.7025175270873167
pDC,mi_ksg,0.8174773770665817
ASDC,ig_mlp,0.79916673300958
B intermediate,ig_mlp,0.8205066921606119
B memory,ig_mlp,0.771633580483138
B naive,ig_mlp,0.7138074742091959
CD14 Mono,ig_mlp,0.8019796725313802
CD16 Mono,ig_mlp,0.7980232431845335
CD4 CTL,ig_mlp,0.6119343530911409
CD4 Naive,ig_mlp,0.5231614135625597
CD4 Proliferating,ig_mlp,0.665436906469905
CD4 TCM,ig_mlp,0.657183839349749
CD4 TEM,ig_mlp,0.6318799536585814
CD8 Naive,ig_mlp,0.627616997528502
CD8 Proliferating,ig_mlp,0.6220195395231263
CD8 TCM,ig_mlp,0.7039785117812882
CD8 TEM,ig_mlp,0.6163916128517899
Eryth,ig_mlp,0.5818920210224559
HSPC,ig_mlp,0.7545964660936008
ILC,ig_mlp,0.7130580090713774
MAIT,ig_mlp,0.7004726089115283
NK,ig_mlp,0.8226480420248329
NK Proliferating,ig_mlp,0.7225405921680993
NK_CD56bright,ig_mlp,0.7301899630372019
Plasmablast,ig_mlp,0.5982272568454734
Platelet,ig_mlp,0.7905156171217791
Treg,ig_mlp,0.5454183584109545
cDC1,ig_mlp,0.7603928656685878
cDC2,ig_mlp,0.7587673196368848
dnT,ig_mlp,0.5908743430482561
gdT,ig_mlp,0.6201402166985341
pDC,ig_mlp,0.7533105113711753
