gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
SIGLEC1,0.061099403,-7.510666e-11,4.19751e-10,-1.224753e-09,-0.0037475491,0.0076575144,-0.010606146,0.0033762609,-3.016215e-10,0.0052600815,3.9797796e-10,-4.5645848e-10,6.0535965e-10,-0.0029168625,-0.012103028,0.008649894,4.782467e-10,0.011163737,0.01014299,-0.0012873756,-1.486153e-10,4.374394e-10,-0.0094021065,0.0041838773,0.021262875,-0.0049143652,0.0096527,-9.746399e-10,-2.5760824e-10,-7.2759576e-11
C20orf27,0.024420334,-0.00804248,0.0021438105,0.0063498174,-0.008595776,0.011253979,0.006906193,-0.00046540974,0.0014566596,0.0012955957,0.0022410778,-0.008351428,-0.017674746,0.027800051,0.008888789,0.001946718,0.0100268675,-0.002210269,0.004131097,0.003924553,0.0063541476,-0.0124969855,-0.00011341526,0.0020167597,0.0027667752,-0.004951626,-0.02295704,0.014028762,-0.004444835,0.018342149
CDC25B,-0.011052821,-0.008857801,-0.0047236085,-0.0019137339,0.0017213027,-0.0006763269,0.021129075,-0.0030491676,0.002500751,0.0014192167,-0.0011598862,0.00041341587,0.014783783,0.012992819,-0.0050653187,-0.030340223,0.0002117443,0.04103126,-0.0073577035,0.0015129943,-0.002601225,0.0077067893,-0.0138028255,-0.0008965494,-0.008150158,-0.0027149892,-0.000874286,0.013715,-0.0033754911,0.0027119564
SMOX,-1.6635137e-09,1.5021331e-11,0.00232423,-0.00035054702,-0.0067265173,-0.0009308579,-1.4292574e-10,0.0045853998,6.3499267e-10,-1.5220378e-10,-0.0025927536,-3.3866276e-10,1.8626452e-10,-2.71919e-10,-3.0787523e-10,-0.006622776,-0.0058008833,-9.91408e-10,-6.127122e-10,2.4589376e-11,-4.4584593e-11,-4.0745363e-10,-0.005009104,-0.011530677,6.058118e-10,0.0020790908,0.0017476415,0.018442309,1.00683524e-10,8.731149e-11
PCNA,-0.04320544,-0.0039692507,0.0018872742,-0.00386969,0.0014060751,0.009891007,-0.02919419,-0.020798903,0.04863652,0.011190381,0.01226622,-0.00013520445,0.019053768,0.028532907,0.01427754,-0.010090541,0.014176431,-0.013738363,0.04957299,-0.004272949,0.019828439,-0.003560543,-0.00026951727,-0.0004865585,0.00037853216,0.013122364,0.002408883,0.010293784,0.0032794485,-0.0011705633
CHGB,-2.910383e-11,2.8164996e-11,3.2793048e-12,-8.079967e-11,9.389749e-11,1.8221528e-10,1.54452e-10,0.017504007,6.349927e-11,0.017535351,-1.4281182e-10,1.9693976e-10,-1.1641532e-11,-0.22253875,-4.570023e-12,9.402776e-11,-1.1641532e-10,-3.755333e-11,-1.6338993e-11,-6.7620784e-11,-2.972306e-11,-1.1288759e-10,3.7511605e-11,8.349459e-12,0.00070759933,-9.054525e-11,5.820766e-11,6.7683324e-11,8.2591954e-11,-1.5279511e-10
LAMP5,-0.0106026195,0.00012858325,-5.9683347e-10,0.0009793746,-0.0032785467,-3.087537e-10,-6.4547107e-10,4.5687523e-10,4.2332846e-11,5.1337923e-10,7.039066e-10,5.889787e-11,5.9371813e-10,6.797975e-11,-9.621101e-11,5.731216e-10,-1.25854405e-11,-1.8025598e-09,5.3918675e-10,3.9957734e-10,4.0621517e-10,-0.020982247,-0.0003236093,0.014086048,-1.085036e-10,-6.855569e-10,-0.00041120956,-4.331733e-11,-8.8098084e-11,-0.0119129885
MACROD2,2.6469167e-09,-0.036671657,-0.014885971,-0.21108383,3.6931758e-10,1.7588837e-09,-3.052156e-09,-3.1629823e-09,1.3546511e-09,6.976692e-10,7.5805323e-10,-5.300808e-10,3.0267984e-09,-2.71919e-10,8.774444e-10,1.6477245e-09,3.5239234e-10,1.9227304e-09,1.3724754e-09,5.163769e-10,-7.92615e-10,1.2982072e-09,-0.04547801,2.595489e-10,7.613336e-09,-0.03452589,-2.8903113e-10,2.500222e-09,2.1867202e-10,-1.0477379e-09
RRBP1,-0.012073514,0.001437921,-0.0003906544,0.0026444306,0.005188952,-0.0018101163,-0.0087356,0.007932219,-0.004840586,0.0026643383,0.0003524564,0.0054461467,-0.003295856,-0.00673709,0.0024365373,-0.00781045,0.0014207346,0.025782293,0.019475516,-0.00068974914,0.0026346736,-0.016346741,0.027683573,-0.00085417414,0.0017352967,-0.010716247,0.007406655,0.0015445414,0.008928531,-0.008230503
RIN2,-0.015396473,0.0061047683,1.0493776e-09,-6.8041833e-10,-0.0067415335,0.056923933,1.4753625e-09,0.0018125963,2.5399707e-09,0.007017804,0.001014267,-5.889787e-11,-1.8160791e-09,0.0,-1.3238635e-09,0.013398522,-0.012847627,-1.6823891e-09,4.166443e-10,0.0030270072,-1.0006764e-09,-2.8221896e-09,-2.5663112e-09,0.0003804976,-0.09627591,0.004860205,-0.012500969,-1.0612745e-09,0.013638606,-1.7753337e-09
THBD,-0.14517367,4.4312928e-10,3.8039935e-10,-5.1031374e-10,0.015050159,-0.00223139,3.3195657e-10,2.81154e-10,-5.0799415e-10,6.845056e-10,0.004875907,-1.6933138e-09,-8.1490724e-11,5.302421e-10,-1.616345e-10,-4.298412e-10,2.7687969e-10,-7.060026e-10,-1.151899e-09,3.8113532e-10,9.907687e-12,-1.1923751e-09,1.448724e-10,-0.002370947,-7.595252e-10,-0.10376641,0.007959546,1.2995198e-09,1.8248889e-10,-0.029928094
CD93,-0.036870737,-0.008074066,-0.056024235,-0.032732002,-0.01047553,0.032628387,0.03214183,0.0013082353,-0.01341694,-0.004623512,-0.0016228359,0.005362975,-0.006324821,-0.0184888,-0.0154549545,0.08191171,-2.5674298e-09,0.026502635,-0.017090999,-0.008084891,-0.002956106,-0.088574424,-2.3179585e-09,-0.008149628,-0.02697404,-0.03445853,0.0007891321,0.078092866,-0.10342866,0.027427068
CST3,0.0018629864,-0.0007936019,0.007083993,-0.01572921,-0.009083174,-0.008012588,-0.018890776,0.007522884,-0.0045522656,0.0014523396,0.0075448747,0.005659351,-0.008703996,0.014740201,0.0020615694,0.039773915,-0.003955345,-0.03306601,-0.001997988,0.0027692604,-0.0043161586,-0.0076818275,0.009709649,-0.0011467009,0.010316486,-0.007054766,0.0009611475,-0.0035353706,0.0058480524,0.0072185085
CST7,0.016354153,-0.025699165,-0.016302425,-0.007828934,0.0024896231,-0.009891073,0.07015192,-0.011457307,-0.009494011,-0.0057835644,0.007941681,-0.011590601,-0.04868358,-0.06965238,0.05607243,-0.06789848,-0.01677863,-0.0570594,0.01213499,-0.00361649,0.013606201,0.0044437903,0.0022683856,-0.03775995,-0.034240477,-0.071706906,-0.016241672,-0.08476618,0.0657137,-0.01989208
HM13,-0.003962289,-0.0022863653,0.0027978304,-0.0030899406,-0.0096987,-0.011257853,0.0016459314,0.0010571679,-0.00092857773,-0.008364473,0.0033022214,0.00083254586,0.006654003,0.004287209,-0.0017214766,0.017748356,0.0129248295,0.005607093,0.00052978005,-0.006963916,0.0052818363,-0.015103878,-0.0048553823,0.0066350503,0.01126803,0.0065866634,-0.0036454713,0.033259083,-0.00462684,-1.5665079e-05
ID1,-1.1764074e-09,0.0020851772,0.00012588128,0.00054071884,0.013453232,0.0043251556,-4.2416673e-10,0.005266323,1.2699854e-10,-3.422528e-10,2.59904e-10,0.0005854506,-0.0022632936,0.0029913199,0.0007343681,0.0034206447,0.009958227,-7.510666e-10,-5.432715e-10,0.0008629543,-0.0013253625,4.797722e-10,0.0014465123,2.2901375e-11,-6.4424015e-11,-0.011634524,0.008029976,1.1045919e-09,2.5406857e-10,-4.0745363e-10
BCL2L1,-0.0031600874,-0.004277093,-0.00121349,0.004799177,-0.002998606,-0.0038239243,-0.039670225,-0.00027709414,0.009720809,0.0081279585,-0.013095813,0.0087390235,0.0066888942,0.0042576157,-0.011416385,0.01739645,0.0070467456,-0.012241806,0.013979122,-0.002288783,-4.9692113e-05,-0.008402094,0.005148371,-0.009466768,0.010224954,0.012798211,-0.0040767337,-0.007391746,0.00057831657,0.0001582408
TPX2,0.0020804957,-0.003101502,-0.002464238,3.0618824e-10,-0.0015713428,0.00036949627,-1.4753625e-10,-0.0064134165,0.023903739,-0.002926287,-0.007409775,6.037032e-10,0.036382128,-0.008608443,0.006258625,-1.3969839e-09,-0.0048282966,1.9227304e-09,-0.0074760797,0.00055056013,-0.03382516,-5.36216e-10,-0.01824879,1.5649272e-10,-0.0010947598,-0.018211795,0.008889789,-2.0034265e-10,5.0341762e-11,-0.013095655
HCK,-0.011202335,-0.00414211,0.0038909114,-0.008296467,0.0019775252,-0.003570421,-0.0016548556,0.008391908,-0.022504456,0.00051791477,0.0060079237,0.015255328,-0.00783642,0.00029302415,-0.009675484,0.022493275,0.0012073172,1.0575017e-08,0.0013088958,-0.017255975,-0.0012416563,-0.0063924473,0.000722,-0.0035394193,2.3147435e-09,0.017354572,0.030232092,-0.0042387294,0.0051287916,-0.0035063545
PLAGL2,0.0022362166,0.0028147062,-0.004569079,0.0022932019,0.009947469,-0.023764133,0.0045354487,-0.0010759804,-0.012835017,0.0033528986,-0.012760023,0.0010023577,-0.0016058736,0.0070750327,0.00069003954,0.0008267313,-0.0074012745,-0.011648207,-0.023998436,0.0010047379,-0.0033289911,5.5032695e-10,0.003236974,0.0015662301,-0.0070573934,-0.012969062,0.009665589,-0.0038986895,-0.01180534,-0.009329012
E2F1,1.0783735e-09,0.001308341,1.4756871e-11,-8.16502e-10,0.0010855596,-0.022879075,-9.405436e-10,5.62308e-10,-0.05168463,-0.0069521926,-8.2302926e-10,9.1291696e-10,0.14017043,0.003654737,-0.0011573168,-0.0024769665,-1.00683524e-10,2.1630717e-09,2.287459e-10,-9.2210156e-11,0.13173136,-0.00049210235,0.0016152503,-0.031598147,3.797626e-10,8.278423e-10,-0.0066361637,-0.036000334,2.6429425e-10,-9.0221874e-10
ASIP,-0.255515,-5.5954463e-10,8.5261925e-10,3.8273532e-10,-1.8465879e-10,-1.0123071e-10,1.751993e-10,4.393031e-11,-6.7732553e-10,-1.9745355e-10,-0.011875883,3.8283615e-10,3.0267983e-10,-3.534947e-10,-4.9260035e-10,7.16402e-11,-5.285885e-10,1.3819625e-09,2.6142388e-10,3.073672e-11,-1.2879993e-10,-1.1288759e-10,0.0,1.870279e-10,5.0635013e-10,5.1740146e-10,-4.0143215e-11,1.2128852e-09,2.0136705e-10,-0.088844016
EPB41L1,3.9826295e-11,1.8541956e-11,-7.050505e-11,3.66788e-11,-5.5432135e-12,-4.3023054e-11,5.302084e-11,0.036726084,-5.2916057e-12,-0.007983363,2.4450601e-11,-2.1626562e-11,-6.9849196e-11,5.948228e-12,-9.621101e-13,-8.0595225e-11,-2.35977e-11,-1.23926e-10,-1.3275431e-11,1.9978868e-11,0.009056168,1.5874817e-11,1.3581788e-11,-7.15668e-13,3.8428358e-11,-1.1964908e-10,3.4121733e-11,-5.6853994e-11,3.460996e-11,-0.0015669626
MYL9,9.803396e-10,-0.0023557455,0.00059698964,0.0014910677,-0.0043565445,-0.010784137,2.2130438e-10,-0.00013663534,-4.762445e-11,4.343978e-10,-0.002307127,0.0019814959,0.0019555648,-6.254137e-10,0.0013737542,-7.16402e-10,5.0341762e-11,-1.2017065e-09,8.0061063e-10,0.008956215,-1.1920186e-10,-6.7027e-11,-1.0503249e-09,0.0630997,-4.4305637e-10,-0.0072999117,-0.001737185,1.0179573e-09,-1.7619617e-10,-0.0023833443
SAMHD1,0.014928871,0.023679512,-0.011723576,-0.016004954,6.814096e-05,-0.02716001,0.052092034,0.051988535,-0.040677454,-0.004664548,-0.019107295,0.011563911,0.008267283,-0.046863146,0.017675294,0.051595513,0.0012552198,0.045232207,-0.0018469043,-0.014679876,-0.0043612476,-0.00035072345,0.012538812,0.009211521,0.023014659,0.011540964,-0.01198695,-0.03176561,-0.014049912,0.009824747
RPN2,0.0006889303,-0.003595156,-0.001859935,0.0009044784,-0.00019555794,-0.0024709273,-0.00377722,-0.001104604,0.0038905537,0.0047004423,0.004946192,0.004258421,0.005954162,0.0069689066,0.0037151102,-0.0057296874,0.00044844905,-0.01078342,-0.0018415578,-0.00096330105,-0.001595955,-0.0046259835,-0.01120839,0.0018616536,-0.003371301,-0.00110308,-0.0008161598,-0.01675029,-0.002277776,0.0021217172
MAFB,-0.031791676,-0.022805948,-0.013183405,0.009367414,-0.056012046,-0.048948813,-0.009043755,0.00764501,-0.032971695,0.0010716886,-0.00054155436,-0.00959919,-0.0029045257,-0.008084618,0.0012291293,0.05699666,-7.047847e-10,4.806826e-10,-0.004182772,-0.007702323,-7.871281e-06,0.011180561,0.0010946374,-0.0036979234,-0.0058599142,-0.011910517,0.016173942,-0.0070155365,-0.024047881,-0.017501188
MYBL2,-0.019896612,0.008763955,-0.0072903163,-0.049788296,-0.0009412747,0.0029035895,-2.4988953e-09,-1.1912893e-09,0.03234991,-1.4545745e-09,7.1473594e-10,1.325202e-10,0.023665972,5.43838e-11,2.1551266e-10,1.3813126e-09,0.008823783,3.124437e-09,-6.2088173e-10,-6.147344e-11,-0.014162189,6.7732553e-10,0.04321083,0.0029127204,0.0,0.006710408,9.634372e-11,-0.03240708,-6.7961375e-10,-0.101783164
TOX2,9.803396e-10,-0.003813688,-0.007270106,0.003217278,0.008755127,-4.5553822e-10,1.8442031e-10,0.0137170665,-0.024507474,0.029362375,3.2488e-11,0.010002914,-0.016981881,0.018122625,-2.193611e-10,3.223809e-10,0.03521369,0.13671541,6.714305e-11,-1.2294688e-11,4.3593823e-10,-0.022626078,0.037052006,7.6337915e-11,-0.00461366,-1.1900233e-09,0.0069748396,0.067017004,-1.2050559e-09,-0.010600504
